be_zip_100,1.78
be_zip_102,1.24
be_zip_103,1.37
be_zip_104,1.77
be_zip_105,1.94
be_zip_106,1.58
be_zip_107,1.25
be_zip_108,1.18
be_zip_109,1.26
be_zip_112,1.31
be_zip_113,1.19
be_zip_114,1.42
be_zip_115,1.82
be_zip_116,1.89
be_zip_117,1.7
be_zip_118,1.73
be_zip_119,1.36
be_zip_120,1.68
be_zip_121,1.29
be_zip_130,1.33
be_zip_131,1.2
be_zip_132,1.27
be_zip_133,1.36
be_zip_134,1.52
be_zip_135,0.87
be_zip_136,0.97
be_zip_137,1.01
be_zip_138,1.56
be_zip_139,1.14
be_zip_140,1.09
be_zip_141,1.5
be_zip_142,1.23
be_zip_143,0.98
be_zip_144,1.04
be_zip_145,0.97
be_zip_146,0.93
be_zip_147,1.06
be_zip_148,1.07
be_zip_149,1.18
be_zip_150,1.25
be_zip_154,0.93
be_zip_156,1.59
be_zip_157,0.98
be_zip_160,1.22
be_zip_162,1.24
be_zip_163,1.27
be_zip_164,1.47
be_zip_165,1.23
be_zip_167,0.93
be_zip_170,1.35
be_zip_173,1.24
be_zip_174,1.07
be_zip_175,1.05
be_zip_176,1.06
be_zip_177,0.95
be_zip_178,1.3
be_zip_179,0.94
be_zip_180,1.17
be_zip_182,1.14
be_zip_183,1.38
be_zip_184,1.07
be_zip_185,1.18
be_zip_186,1.26
be_zip_188,0.98
be_zip_191,1.13
be_zip_193,1.47
be_zip_195,1.64
be_zip_197,1.74
be_zip_198,1.11
be_zip_200,1.82
be_zip_201,1.48
be_zip_202,1.22
be_zip_203,1.22
be_zip_204,1.05
be_zip_205,1.38
be_zip_206,1.21
be_zip_207,1.2
be_zip_210,1.1
be_zip_211,1.27
be_zip_214,1.14
be_zip_215,1.29
be_zip_216,1.32
be_zip_217,1.1
be_zip_218,1.1
be_zip_220,1.08
be_zip_222,1.06
be_zip_223,1.12
be_zip_224,1.22
be_zip_225,1.09
be_zip_226,0.95
be_zip_227,1.12
be_zip_228,1.22
be_zip_229,1.05
be_zip_230,1.02
be_zip_231,0.99
be_zip_232,1.42
be_zip_233,0.9
be_zip_234,1.06
be_zip_235,1.05
be_zip_236,0.99
be_zip_237,1.05
be_zip_238,1.03
be_zip_239,1.49
be_zip_240,1.04
be_zip_243,1.01
be_zip_244,0.98
be_zip_245,0.91
be_zip_246,1.01
be_zip_247,1.01
be_zip_248,1.05
be_zip_249,0.96
be_zip_250,1.26
be_zip_252,1.19
be_zip_253,1.15
be_zip_254,1.38
be_zip_255,1.29
be_zip_256,1.16
be_zip_257,1.08
be_zip_258,1.04
be_zip_259,1.17
be_zip_260,1.3
be_zip_261,1.21
be_zip_262,1.08
be_zip_263,1.29
be_zip_264,1.28
be_zip_265,1.44
be_zip_266,1.04
be_zip_280,1.23
be_zip_281,1.23
be_zip_282,1.2
be_zip_283,1.19
be_zip_284,1.18
be_zip_285,1.07
be_zip_286,1.21
be_zip_287,1.28
be_zip_288,1.19
be_zip_289,1.11
be_zip_290,1.11
be_zip_291,1.13
be_zip_292,1.2
be_zip_293,1.39
be_zip_294,1.11
be_zip_295,1.25
be_zip_296,1.33
be_zip_297,1.43
be_zip_298,1.29
be_zip_299,1.24
be_zip_300,1.91
be_zip_301,1.38
be_zip_302,1.47
be_zip_304,1.2
be_zip_305,1.39
be_zip_306,1.21
be_zip_307,1.16
be_zip_308,1.49
be_zip_309,1.37
be_zip_311,1.18
be_zip_312,1.19
be_zip_313,1.03
be_zip_314,1.15
be_zip_315,1.11
be_zip_319,1.16
be_zip_320,1.05
be_zip_321,1.13
be_zip_322,1.09
be_zip_327,1.09
be_zip_329,0.96
be_zip_330,1.02
be_zip_332,0.74
be_zip_335,1.04
be_zip_336,1.4
be_zip_337,1.13
be_zip_338,0.79
be_zip_339,1.08
be_zip_340,0.8
be_zip_344,0.84
be_zip_345,0.92
be_zip_346,0.95
be_zip_347,0.87
be_zip_350,1.35
be_zip_351,0.94
be_zip_352,0.96
be_zip_353,0.88
be_zip_354,0.96
be_zip_355,0.89
be_zip_356,1.02
be_zip_357,0.97
be_zip_358,0.9
be_zip_359,1.01
be_zip_360,1.01
be_zip_362,1.03
be_zip_363,0.99
be_zip_364,0.87
be_zip_365,0.9
be_zip_366,0.94
be_zip_367,1.06
be_zip_368,0.87
be_zip_369,0.93
be_zip_370,0.9
be_zip_372,0.92
be_zip_373,0.91
be_zip_374,0.93
be_zip_377,0.64
be_zip_379,0.88
be_zip_380,0.93
be_zip_383,0.85
be_zip_384,0.97
be_zip_385,0.93
be_zip_387,0.83
be_zip_389,0.83
be_zip_390,1.0
be_zip_391,0.91
be_zip_392,1.0
be_zip_393,1.0
be_zip_394,0.96
be_zip_395,0.92
be_zip_396,0.93
be_zip_397,0.81
be_zip_398,0.94
be_zip_399,1.3
be_zip_400,1.0
be_zip_402,0.85
be_zip_403,0.77
be_zip_404,0.83
be_zip_405,0.96
be_zip_410,0.8
be_zip_412,1.03
be_zip_413,0.95
be_zip_414,0.84
be_zip_416,0.9
be_zip_417,0.62
be_zip_418,0.63
be_zip_419,0.76
be_zip_421,0.87
be_zip_425,0.83
be_zip_426,0.76
be_zip_428,0.83
be_zip_430,0.82
be_zip_431,0.7
be_zip_434,0.87
be_zip_435,0.78
be_zip_436,0.95
be_zip_440,0.83
be_zip_442,0.71
be_zip_443,0.83
be_zip_445,0.92
be_zip_446,0.71
be_zip_447,0.87
be_zip_448,0.69
be_zip_450,0.72
be_zip_452,0.77
be_zip_453,0.9
be_zip_454,0.64
be_zip_455,0.84
be_zip_456,0.7
be_zip_457,0.67
be_zip_459,0.73
be_zip_460,0.91
be_zip_461,0.78
be_zip_462,1.0
be_zip_463,1.03
be_zip_465,0.93
be_zip_467,0.97
be_zip_468,0.96
be_zip_469,0.67
be_zip_470,0.98
be_zip_471,1.21
be_zip_472,0.83
be_zip_473,1.07
be_zip_475,1.08
be_zip_476,0.74
be_zip_477,0.64
be_zip_478,1.42
be_zip_479,0.56
be_zip_480,0.77
be_zip_482,0.56
be_zip_483,0.83
be_zip_484,1.21
be_zip_485,1.2
be_zip_486,0.63
be_zip_487,0.72
be_zip_488,0.96
be_zip_489,1.17
be_zip_490,1.11
be_zip_491,0.89
be_zip_492,0.8
be_zip_495,0.91
be_zip_496,0.91
be_zip_497,0.87
be_zip_498,0.91
be_zip_499,0.78
be_zip_500,1.02
be_zip_502,0.98
be_zip_503,1.05
be_zip_506,0.81
be_zip_507,0.76
be_zip_508,0.95
be_zip_510,1.12
be_zip_514,0.85
be_zip_515,0.9
be_zip_517,0.93
be_zip_519,0.76
be_zip_530,0.82
be_zip_531,1.0
be_zip_533,1.01
be_zip_534,0.83
be_zip_535,0.66
be_zip_536,0.84
be_zip_537,0.74
be_zip_538,0.9
be_zip_550,0.72
be_zip_552,0.7
be_zip_553,0.86
be_zip_554,0.71
be_zip_555,0.59
be_zip_556,0.84
be_zip_557,0.66
be_zip_558,0.72
be_zip_559,0.85
be_zip_560,0.68
be_zip_562,0.7
be_zip_563,0.64
be_zip_564,0.75
be_zip_565,0.65
be_zip_566,0.6
be_zip_567,0.51
be_zip_568,0.46
be_zip_600,0.65
be_zip_601,0.53
be_zip_602,0.48
be_zip_603,0.67
be_zip_604,0.58
be_zip_606,0.63
be_zip_611,0.84
be_zip_612,0.88
be_zip_614,0.7
be_zip_615,0.58
be_zip_618,0.71
be_zip_620,0.59
be_zip_621,0.95
be_zip_622,0.76
be_zip_623,0.79
be_zip_624,0.66
be_zip_625,0.76
be_zip_628,0.87
be_zip_644,0.86
be_zip_646,0.47
